bilstm,.,A,AP,Ad,AdvP,CC,CONJP,D,FRAG,G,IN,INTJ,LST,N,NA,NP,NPP,PP,PRN,PRT,Punct,QP,RRC,S,UCP,V,VP,X
.,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
A,0,72,3,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,3,0,0
AP,0,4,362,2,6,0,0,0,0,0,0,0,0,0,24,28,0,0,1,0,0,4,0,5,5,0,14,0
Ad,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
AdvP,1,0,8,1,168,0,0,0,0,0,0,0,0,0,8,12,0,2,1,0,0,3,0,7,0,0,18,0
CC,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CONJP,0,0,0,0,1,0,23,0,0,0,0,0,0,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRAG,0,0,0,0,1,0,0,0,1,0,0,0,0,0,4,1,0,3,0,0,0,0,0,4,0,0,0,0
G,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LST,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,0,3,0,0,0,0,0,0,0,0,0,0,0,247,0,67,0,1,0,0,0,0,0,1,1,1,0,0
NA,0,0,40,0,18,0,0,0,16,0,0,0,0,0,15541,298,5,6,31,0,0,13,1,72,7,19,237,2
NP,0,3,31,1,13,0,1,1,49,0,0,0,0,48,293,16767,1,17,51,0,0,33,3,64,5,7,232,2
NPP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,381,0,1,0,0,0,0,0,0,0,0,0
PP,0,0,0,0,0,0,0,0,1,0,1,0,0,0,5,6,0,133,1,0,0,0,0,2,4,0,1,0
PRN,0,0,1,0,0,0,0,0,1,0,0,0,1,0,17,19,0,2,179,0,0,0,0,6,1,2,5,0
PRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Punct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0
QP,0,0,4,0,0,0,0,0,0,0,0,0,0,0,12,14,0,0,0,0,0,605,0,0,0,0,2,0
RRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
S,0,0,1,0,4,0,0,0,19,0,0,1,0,1,37,44,0,7,19,0,0,0,0,3431,5,2,17,0
UCP,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,5,0,2,0,0,0,0,0,0,7,0,2,0
V,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,2,6,0,0,0,0,3,0,97,14,0
VP,0,1,25,1,21,0,2,0,4,0,0,1,0,1,231,231,0,18,61,0,0,2,2,66,2,30,4886,0
X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
