bilstm,.,A,AP,Ad,AdvP,CC,CONJP,D,FRAG,IN,INTJ,LST,N,NA,NP,NPP,PP,PRN,PRT,Punct,QP,RRC,S,UCP,V,VP,X
.,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0
A,0,77,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,2,0,0,0
AP,0,2,316,0,6,0,0,0,0,0,0,0,0,16,19,0,0,0,0,0,1,1,1,2,0,12,0
Ad,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AdvP,0,0,6,2,151,0,0,0,0,0,0,0,0,9,6,0,1,0,0,0,2,0,5,0,1,10,0
CC,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
CONJP,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FRAG,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
IN,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
INTJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LST,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,0,0,0,0,0,0,0,0,0,0,0,0,242,0,65,0,2,0,0,0,1,0,1,0,0,1,0
NA,0,0,39,0,27,0,1,0,9,0,0,0,0,15248,275,5,8,33,0,0,24,1,78,8,17,247,1
NP,0,6,58,1,15,0,21,2,50,0,1,0,56,544,16809,2,20,76,0,0,52,0,117,16,8,379,3
NPP,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,380,0,0,0,0,0,0,0,0,0,0,0
PP,0,0,0,0,0,0,0,0,0,1,0,0,1,4,4,0,134,1,0,0,0,0,2,3,0,3,0
PRN,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,0,1,159,0,0,0,0,2,0,1,1,0
PRT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
Punct,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0,0,0,0,0,0
QP,0,0,0,0,1,0,0,0,0,0,0,0,0,8,12,0,0,1,0,0,575,0,0,0,0,2,0
RRC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,1,0,9,1,8,1,0,0,17,1,0,1,1,35,74,0,8,24,0,0,1,0,3381,1,5,30,0
UCP,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0
V,0,0,3,0,0,0,0,0,0,0,1,0,0,10,2,0,2,4,0,0,0,0,4,1,98,19,0
VP,0,0,38,3,24,0,4,0,5,0,0,0,0,298,221,0,18,53,0,0,4,4,69,4,31,4723,0
X,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
